name,prefix,steps,nL,ns,gcd,L_edsteps,s_edsteps,add_depth,Ls_ratio,hardness,ed,genL,gens,gen_edsteps,skew,depth
malic,mal-,6,2,4,2,2,1,1,2:1,basic,8,1,1,3,0.750000,1
malic,mal-,6,2,4,2,3,1,2,3:1,hard,10,1,1,4,0.800000,1
malic,mal-,6,2,4,2,3,2,2,3:2,soft,14,1,1,5,0.714286,1
malic,mal-,6,2,4,2,4,1,3,4:1,superhard,12,1,1,5,0.833333,1
malic,mal-,6,2,4,2,4,3,3,4:3,supersoft,20,1,1,7,0.700000,1
malic,mal-,6,2,4,2,5,2,3,5:2,semihard,18,1,1,7,0.777778,1
malic,mal-,6,2,4,2,5,3,3,5:3,semisoft,22,1,1,8,0.727273,1
triwood,triwd-,6,3,3,3,1,1,0,1:1,equalized,6,1,0,1,0.500000,0
triwood,triwd-,6,3,3,3,2,1,1,2:1,basic,9,1,0,2,0.666667,0
triwood,triwd-,6,3,3,3,3,1,2,3:1,hard,12,1,0,3,0.750000,0
triwood,triwd-,6,3,3,3,3,2,2,3:2,soft,15,1,0,3,0.600000,0
triwood,triwd-,6,3,3,3,4,1,3,4:1,superhard,15,1,0,4,0.800000,0
triwood,triwd-,6,3,3,3,4,3,3,4:3,supersoft,21,1,0,4,0.571429,0
triwood,triwd-,6,3,3,3,5,2,3,5:2,semihard,21,1,0,5,0.714286,0
triwood,triwd-,6,3,3,3,5,3,3,5:3,semisoft,24,1,0,5,0.625000,0
citric,citro-,6,4,2,2,1,1,0,1:1,equalized,6,1,0,1,0.333333,1
citric,citro-,6,4,2,2,2,1,1,2:1,basic,10,1,0,2,0.400000,1
citric,citro-,6,4,2,2,3,1,2,3:1,hard,14,1,0,3,0.428571,1
citric,citro-,6,4,2,2,3,2,2,3:2,soft,16,1,0,3,0.375000,1
citric,citro-,6,4,2,2,4,1,3,4:1,superhard,18,1,0,4,0.444444,1
citric,citro-,6,4,2,2,4,3,3,4:3,supersoft,22,1,0,4,0.363636,1
citric,citro-,6,4,2,2,5,2,3,5:2,semihard,24,1,0,5,0.416667,1
citric,citro-,6,4,2,2,5,3,3,5:3,semisoft,26,1,0,5,0.384615,1
machinoid,mech-,6,5,1,1,1,1,0,1:1,equalized,6,1,0,1,0.166667,4
